Pnueli, Amir
Pollefeys, Marc
Silberschatz, Abraham
Smyth, Barry
Stolcke, Andreas
Tsudik, Gene
Zhou, Zhi-Hua
Abraham, Ajith
Agarwal, Pankaj K.
Agrawal, Divyakant
Amari, Shun-ichi
Cheriton, David
Crovella, Mark
Floyd, Sally
Giacomo, Giuseppe De
Gottlob, Georg
Harmelen, Frank van
Heidemann, John
Knoblock, Craig
Lakshmanan, Laks V.S.
Larus, James
Lin, Ming C.
Littman, Michael L.
Michalewicz, Zbigniew
Mitzenmacher, Michael
Pazzani, Michael
Picard, Rosalind
Reichert, Manfred
Reiter, Michael
Sahai, Amit
Smith, John R.
Srivastava, Divesh
Sukhatme, Gaurav
Suri, Subhash
Viedma, Enrique Herrera
Wellman, Michael P.
Wiederhold, Gio
Allen, James F.
Altman, Eitan
Belongie, Serge
Cipolla, Roberto
Coello, Carlos A. C.
Cohen, William W.
Dietterich, Thomas
Dolev, Danny
Eiter, Thomas
Gehrke, Johannes
Gibbons, Phillip
Greenberg, Donald
Grudin, Jonathan
Gupta, Rajesh
Hennessy, John
Levoy, Marc
Pavlidis, Theo
Patel-Schneider, Peter
Plotkin, Gordon
Rabaey, Jan M.
Riedl, John
Ross, Keith
Roth, Dan
Samarati, Pierangela
Zaniolo, Carlo
Abdelzaher, Tarek
Agrawal, Dharma P.
Awerbuch, Baruch
Buhmann, Joachim
Bowyer, Kevin
Brusilovsky, Peter
Calder, Brad
Calvanese, Diego
Casati, Fabio
Denning, Peter
Forrest, Stephanie
Ghahramani, Zoubin
Graham, Ron
Guerraoui, Rachid
Gupta, Rajiv
Hellerstein, Joseph M.
Indyk, Piotr
Ishibuchi, Hisao
Jouppi, Norman
Karp, Richard
Knight, Kevin
Kriegman, David
Lee, Der-Tsai
Low, Steven
Ma, Wei-Ying
Manning, Christopher
Maurer, Ueli
Moran, Thomas P.
Narayanan, Vijaykrishnan
Badrinath], Badri Nath [B R
Ni, Lionel M.
Pollack, Jordan
Rothermel, Gregg
Soatto, Stefano
Song, Dawn
Stevens, Robert
Tamassia, Roberto
Weickert, Joachim
Woeginger, Gerhard
Bafna, Vineet
Bederson, Ben
Benford, Steve
Bernstein, Philip A.
Bershad, Brian
Bobick, Aaron
Cao, Guohong
Briand, Lionel
Chaudhuri, Surajit
Gibson, Garth
Grimson, W. Eric L.
Hodgins, Jessica
Irani, Michal
Jacobson, Van
Jain, Raj
Jensen, Christian S.
Kephart, Jeff
Knightly, Edward
Krawczyk, Hugo
LeCun, Yann
Leymann, Frank
Maier, David
Mansour, Yishay
Metaxas, Dimitris
Mitchell, Joseph S. B.
Moore, Jason H.
Mudge, Trevor
Muthukrishnan, S.
Pfenning, Frank
Pierce, Benjamin
Saltz, Joel
Sarrafzadeh, Majid
Srihari, Sargur
Stinson, Douglas
Tardos, Eva
Waidner, Michael
Whitley, Darrell
Whittaker, Steve
Zhang, Zhengyou
Zhou, Yuanyuan
Alon, Noga
Barto, Andrew
Boutilier, Craig
Chien, Andrew A.
Church, Kenneth
Cohen, Philip R
DeWitt, David J.
Dourish, Paul
Eppstein, David
Felleisen, Matthias
Feiner, Steven
Guestrin, Carlos
Guibas, Leonidas J.
Hoos, Holger
Imielinski, Tomasz
Kimmel, Ron
Kriegel, Hans-Peter
Kuipers, Benjamin
Levesque, Hector
Liu, Huan
Luby, Michael
Mehlhorn, Kurt
Morris, Robert
Naor, Moni
Naughton, Jeffrey F.
Paton, Norman
Preneel, Bart
Ramchandran, Kannan
Schiper, Andre
Selman, Bart
Siewiorek, Daniel
Stasko, John
Stonebraker, Michael
Subrahmanian, V. S.
Sutton, Richard S.
Weikum, Gerhard
Wetherall, David
Wood, David A.
Zobel, Justin
Allan, James
Baader, Franz
Ballard, Dana
Bryant, Randal
Buneman, Peter
Calhoun, Vince
Carey, Michael J.
Dayal, Umeshwar
Fua, Pascal
Hentenryck, Pascal Van
Hwu, Wen-Mei W.
Khosla, Pradeep K.
Knowles, Joshua
Lam, Simon S.
Landay, James
McGuinness, Deborah L.
Madden, Samuel
McKeown, Kathleen
McKinley, Kathryn
Navarro, Gonzalo
Nolfi, Stefano
Padua, David
Parnas, David
Quisquater, Jean-Jacques
Sattler, Ulrike
Satyanarayanan, Mahadev
Schiele, Bernt
Seitz, Steven
Singer, Yoram
Singh, Satinder
Snodgrass, Richard
Steenkiste, Peter
Stone, Peter
Tomkins, Andrew
Torr, Philip
Aiken, Alex
Banzhaf, Wolfgang
Belding, Elizabeth
Billinghurst, Mark
Bischof, Horst
Borriello, Gaetano
Brayton, Robert K.
Cassell, Justine
Dechter, Rina
Dhillon, Inderjit S.
Gordon, Andrew
Grunwald, Dirk
Gutwin, Carl
Harrold, Mary Jean
Hennessy, Matthew
Herlihy, Maurice
C.A.R.
Kandemir, Mahmut
Keromytis, Angelos
Kleinrock, Leonard
Kurose, Jim
Li, Xiang-Yang
Lipton, Richard
Mahlke, Scott
Memon, Nasir
Offutt, Jeff
Papadias, Dimitris
Pappas, George
Patt, Yale
Shekhar, Shashi
Silva, Claudio
Suganthan, P. N.
Walsh, Toby
Bal, Henri
Ball, Thomas
Chakrabarty, Krishnendu
Dasgupta, Dipankar
Duffield, Nick
Egenhofer, Max J.
Feitelson, Dror
Fox, Edward A.
Gennaro, Rosario
Gribble, Steve
Higham, Nicholas J.
Hopcroft, John
Ikeuchi, Katsushi
Ioannidis, Yannis
Jha, Niraj K.
Keogh, Eamonn
Kilian, Joe
Kozen, Dexter
Lifschitz, Vladimir
Lincoln, Patrick
Martonosi, Margaret
McMillan, Kenneth
Motta, Enrico
Nicolau, Alex
Peleg, Shmuel
Ponce, Jean
Shaw, Mary
Studer, Rudi
Sudan, Madhu
Tan, Chew Lim
Tan, Tieniu
Welzl, Emo
Zambonelli, Franco
Welsh, Matt
Broder, Andrei
Das, Samir
Ernst, Michael
Feldmann, Anja
Fiat, Amos
Flynn, Patrick J.
Fogel, David
Impagliazzo, Russell
Kaashoek, M. Frans
Krishnamurthy, Arvind
Kesselman, Carl
King, Ross
Koza, John
Lazowska, Ed
Lesser, Victor
Li, Ming
Liu, Bing
Mannila, Heikki
Marcu, Daniel
Mendelzon, Alberto O.
Ousterhout, John
Papakonstantinou, Yannis
Parsia, Bijan
Poli, Riccardo
Raynal, Michel
Rui, Yong
Schneider, Fred
Scott, Dana
Simoncelli, Eero P.
Smeaton, Alan
Snir, Marc
Taylor, Richard
Tekalp, Murat
Thorup, Mikkel
Vrahatis, Michael N.
Wang, Jun
Wijk, Jarke J. van
Wirth, Niklaus
Zaki, Mohammed
Zucker, Steven
Basili, Victor
Biersack, Ernst
Birman, Kenneth
Brass, Andrew
Camenisch, Jan
Chandrasekaran, Balakrishnan
Curless, Brian
Dumas, Marlon
Emerson, E. Allen
Eskin, Eleazar
Faloutsos, Christos
Falsafi, Babak
Goldreich, Oded
Goldwasser, Shafi
Hermenegildo, Manuel
Hofmann, Thomas
Jagadish, H. V.
Jakobsson, Markus
Joachims, Thorsten
Kavraki, Lydia
Kossmann, Donald
Murphy, Gail
Nipkow, Tobias
Oorschot, Paul C. van
Özsu, M. Tamer
Preparata, Franco
Renesse, Robbert van
Rutenbar, Rob
Schapire, Robert E.
Shoup, Victor
Valero, Mateo
Vimercati, Sabrina De Capitani di
Weston, Jason
Wolisz, Adam
Zegura, Ellen
Appel, Andrew
Batory, Don
Bengio, Yoshua
Biham, Eli
Chakrabarti, Soumen
Chen, Ming-Syan
Comaniciu, Dorin
Eggers, Susan
Feige, Uriel
Florescu, Daniela
Galil, Zvi
Gannon, Dennis
Ghezzi, Carlo
Goodrich, Michael T.
Goguen, Joseph
Guyon, Isabelle
Helmy, Ahmed
Jahanian, Farnam
Jones, Simon Peyton
Kim, Won
Lampson, Butler
Li, Baochun
Liskov, Barbara
Luck, Michael
Mehrotra, Sharad
Miikkulainen, Risto
Menasce, Daniel
Milner, Robin
Palmer, Martha Stone
Pankanti, Sharath
Pfitzmann, Birgit
Radev, Dragomir
Ramamritham, Krithi
Rao, Rajesh
Rector, Alan
Rijke, Maarten de
Sasse, Angela
Shamai, Shlomo
Shashua, Amnon
Skadron, Kevin
Steffen, Bernhard
Kin, Sung Wing
Walker, Marilyn
Wigderson, Avi
Wolper, Pierre
Wong, Limsoon
Aberer, Karl
Agha, Gul
Arbib, Michael
Boehm, Barry
Damgård, Ivan
Darwiche, Adnan
Devroye, Luc
Donald, Bruce R.
Edwards, Keith
Elkan, Charles
Gerstner, Wulfram
Gonnet, Gaston H.
